class_name,average_calories
apple_pie,320
baby_back_ribs,400
baklava,335
beef_carpaccio,220
beef_tartare,250
beet_salad,150
beignets,290
bibimbap,550
bread_pudding,330
breakfast_burrito,300
bruschetta,170
caesar_salad,180
cannoli,250
caprese_salad,250
carrot_cake,350
ceviche,180
cheese_plate,420
cheesecake,420
chicken_curry,290
chicken_quesadilla,500
chicken_wings,430
chocolate_cake,370
chocolate_mousse,350
churros,270
clam_chowder,180
club_sandwich,450
crab_cakes,300
creme_brulee,250
croque_madame,450
cup_cakes,340
deviled_eggs,160
donuts,260
dumplings,220
edamame,120
eggs_benedict,360
escargots,150
falafel,330
filet_mignon,450
fish_and_chips,700
foie_gras,380
french_fries,450
french_onion_soup,280
french_toast,290
fried_calamari,350
fried_rice,400
frozen_yogurt,160
garlic_bread,180
gnocchi,250
greek_salad,200
grilled_cheese_sandwich,430
grilled_salmon,420
guacamole,180
gyoza,220
hamburger,550
hot_and_sour_soup,160
hot_dog,290
huevos_rancheros,320
hummus,280
ice_cream,210
lasagna,600
lobster_bisque,250
lobster_roll_sandwich,420
macaroni_and_cheese,310
macarons,200
miso_soup,110
mussels,250
nachos,150
omelette,400
onion_rings,280
oysters,180
pad_thai,400
paella,250
pancakes,380
panna_cotta,210
peking_duck,370
pho,280
pizza,266
pork_chop,400
poutine,740
prime_rib,650
pulled_pork_sandwich,500
ramen,450
ravioli,350
red_velvet_cake,320
risotto,300
samosa,180
sashimi,320
scallops,420
seaweed_salad,400
shrimp_and_grits,380
spaghetti_bolognese,360
spaghetti_carbonara,220
spring_rolls,680
steak,280
strawberry_shortcake,320
sushi,200
tacos,330
takoyaki,310
tiramisu,350
tuna_tartare,260
waffles,310
